"","Pop.x","year.x","ToptCI","B50CI","B80CI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","N1","2010","32.14 [31.28, 33.04]","21.39 [19.91, 22.89]","12.97 [11.91, 14.08]","37.25 [34.94, 39.63]","8.94 [7.01, 10.92]","46.18 [45.34, 47.42]","0.42 [0.39, 0.46]","33.1 [31.01, 35.22]"
"7","N1","2017","32.88 [31.99, 33.73]","21.91 [20.56, 23.16]","13.32 [12.33, 14.26]","37.47 [35.52, 39.68]","8.69 [6.85, 10.44]","46.16 [45.5, 47.24]","0.43 [0.39, 0.46]","33.92 [31.84, 36.05]"
"2","N2","2010","32.97 [32.21, 33.71]","22.18 [21.14, 23.16]","13.56 [12.77, 14.29]","36.75 [34.98, 38.64]","9 [7.26, 10.7]","45.75 [45.34, 46.41]","0.42 [0.39, 0.45]","33.66 [31.84, 35.44]"
"8","N2","2017","32.71 [31.99, 33.45]","21.58 [20.47, 22.68]","13.12 [12.26, 13.99]","36.81 [34.63, 39.1]","9.57 [7.73, 11.47]","46.38 [45.66, 47.45]","0.46 [0.43, 0.49]","35.9 [34.23, 37.6]"
"3","C1","2010","32.05 [31.46, 32.62]","23.41 [22.53, 24.18]","14.4 [13.68, 15.03]","37.17 [36.07, 38.65]","8.79 [7.55, 9.78]","45.96 [45.61, 46.55]","0.51 [0.49, 0.54]","43.2 [41.64, 44.75]"
"9","C1","2017","32.58 [31.9, 33.24]","22.84 [21.84, 23.74]","13.98 [13.2, 14.68]","37.37 [35.92, 39.15]","8.86 [7.4, 10.18]","46.23 [45.74, 47.06]","0.5 [0.48, 0.53]","41.63 [39.88, 43.38]"
"4","C2","2010","32.81 [32.15, 33.43]","22.46 [21.52, 23.29]","13.73 [13, 14.38]","37.18 [35.79, 38.82]","8.54 [7.06, 9.87]","45.72 [45.4, 46.25]","0.51 [0.49, 0.54]","41.92 [40.11, 43.76]"
"10","C2","2017","32.62 [31.99, 33.22]","22.55 [21.6, 23.42]","13.77 [13.01, 14.46]","37.47 [36.08, 39.23]","8.51 [7.05, 9.75]","45.98 [45.57, 46.66]","0.53 [0.51, 0.56]","43.42 [41.75, 45.1]"
"5","S1","2010","33.15 [32.56, 33.7]","23.6 [22.79, 24.36]","14.46 [13.81, 15.07]","38.43 [37.24, 39.94]","8.3 [7.01, 9.41]","46.73 [46.28, 47.44]","0.5 [0.48, 0.53]","42.91 [41.37, 44.49]"
"11","S1","2017","33.76 [33.15, 34.32]","22.29 [21.47, 23.08]","13.56 [12.92, 14.18]","38.05 [36.62, 39.66]","8.15 [6.66, 9.54]","46.2 [45.84, 46.81]","0.56 [0.53, 0.59]","45.2 [43.32, 47.1]"
"6","S2","2010","33.54 [32.9, 34.15]","22.87 [22.04, 23.71]","13.98 [13.34, 14.62]","37.96 [36.61, 39.49]","8.28 [6.76, 9.64]","46.25 [45.87, 46.77]","0.53 [0.5, 0.56]","43.64 [41.71, 45.63]"
"12","S2","2017","33.23 [32.61, 33.81]","22.58 [21.78, 23.35]","13.81 [13.18, 14.41]","37.18 [35.9, 38.69]","8.89 [7.51, 10.14]","46.07 [45.73, 46.62]","0.55 [0.52, 0.57]","44.83 [43.02, 46.65]"
