"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","maxima","breadth","area","special","idx","max_RGR","maximaBT","x_minBT","x_maxBT","breadthBT","opt_breadth_low","opt_breadth_high","opt_breadth","B50_low","B50_high","B50","opt_breadth_low1","opt_breadth_high1","opt_breadth1","B80_low","B80_high","B80","Pop","year"
"1","1",-18.72833823,10000.5,18.910961195,2.5566227795,2.504708386,0.8660407511,10.832786073,4.46854169754016,37.639299425,32.5742988026081,0.8660407511,10000.5,0.411610248770977,31.9903821168762,8.79350218933605,46.4328016143361,37.639299425,-7.55624953848485,14.1338533234343,21.6901028619192,19.9655908808512,41.6556937427704,21.6901028619192,-2.40899108247475,10.7446471902525,13.1536382727273,25.1128493368613,38.2664876095886,13.1536382727273,"N1","2010"
"2","2",-18.391158005,10000.5,18.254594185,2.4514237005,2.1155906485,0.91946855025,13.030555305,5.40405162705159,36.64575219,33.6818279574537,0.91946855025,30000.5,0.418438411871983,32.9258920463876,9.13068241433605,45.7764346043361,36.64575219,-7.29471353080808,14.9281955315152,22.2229090623232,20.227126888528,42.4500359508512,22.2229090623232,-1.84092921545455,11.7456411662626,13.5865703817172,25.6809112038815,39.2674815855987,13.5865703817172,"N2","2010"
"3","3",-18.326760175,10000.5,18.575466455,2.2211743255,2.0984928645,1.1484002065,17.01767367,4.19133706921141,36.90222663,42.3736431675509,1.1484002065,50000.5,0.49515791307934,31.7131774885475,9.19508024433605,46.097306874336,36.90222663,-9.08274392237374,14.7816834356061,23.8644273579798,18.4390964969623,42.3035238549421,23.8644273579798,-3.55852819767677,11.1901057143434,14.7486339120202,23.9633122216593,38.7119461336795,14.7486339120202,"C1","2010"
"4","4",-18.66554284,10000.5,18.26298796,2.392810361,2.1034465455,1.135610435,16.560444475,5.02296430461961,36.9285308,41.9296663668916,1.135610435,70000.5,0.509540582096981,32.5448047239557,8.85629757933605,45.784828379336,36.9285308,-7.92751258212121,14.844019635202,22.7715322173232,19.5943278372148,42.3658600545381,22.7715322173232,-2.40157220242424,11.558230955101,13.9598031575253,25.1202682169118,39.0800713744371,13.9598031575253,"C2","2010"
"5","5",-18.889328155,10000.5,19.406999965,2.3294572105,2.0898764065,1.1108322765,18.287774555,5.32892003041884,38.29632812,42.5336173431113,1.1108322765,90000.5,0.490804673840314,32.8507604497549,8.63251226433605,46.928840384336,38.29632812,-8.27104499656566,15.7779240245455,24.0489690211111,19.2507954227704,43.2997644438815,24.0489690211111,-2.51273512540404,12.2746319995455,14.7873671249495,25.009105293932,39.7964724188815,14.7873671249495,"S1","2010"
"6","6",-18.599897945,10000.5,18.85914615,2.367542554,2.052600134,1.16340934,14.77486975,5.56241073509644,37.459044095,43.5723808502533,1.16340934,110000.5,0.517636494336571,33.0842511544325,8.92194247433605,46.3809865693361,37.459044095,-7.7622613859596,15.5737917187374,23.336053104697,19.7595790333765,43.0956321380734,23.336053104697,-2.08289820045455,12.2476811917677,14.3305793922222,25.4389422188815,39.7695216111037,14.3305793922222,"S2","2010"
"7","7",-18.462646925,10000.5,18.76462422,2.426428559,2.2274088515,0.90324615095,11.4193543885,4.9625251418707,37.227271145,33.6077244824956,0.90324615095,130000.5,0.411078760883483,32.4843655612068,9.05919349433605,46.2864646393361,37.227271145,-7.72527439676768,14.8431792278788,22.5684536246465,19.7965660225684,42.3650196472148,22.5684536246465,-2.32056304641414,11.4744243839394,13.7949874303535,25.2012773729219,38.9962648032754,13.7949874303535,"N1","2017"
"8","8",-17.329308745,10000.5,19.146901195,2.449842461,2.3996699875,0.96968923995,14.018770405,4.9457490012162,36.47620994,35.3356091811169,0.96968923995,150000.5,0.447922583557442,32.4675894205523,10.1925316743361,46.668741614336,36.47620994,-7.06809210045455,14.6511940225253,21.7192861229798,20.4537483188815,42.1730344418613,21.7192861229798,-1.97074363626263,11.2669293229293,13.2376729591919,25.5510967830734,38.7887697422653,13.2376729591919,"N2","2017"
"9","9",-18.304243505,10000.5,18.861713215,2.3104651485,2.1323531235,1.0929154822,14.733572325,4.82308344456309,37.16595672,40.6096546090534,1.0929154822,170000.5,0.481987351228535,32.3449238638991,9.21759691433605,46.3835536343361,37.16595672,-8.29505410606061,15.0979763486364,23.393030454697,19.2267863132754,42.6198167679724,23.393030454697,-2.7680373260101,11.6195203504545,14.3875576764646,24.7538030933259,39.1413607697906,14.3875576764646,"C1","2017"
"10","10",-18.686436345,10000.5,18.519078935,2.3644005245,2.1267122215,1.14134972085,16.09645327,4.86360294785456,37.20551528,42.4564999986467,1.14134972085,190000.5,0.509396997590554,32.3854433671906,8.83540407433605,46.0409193543361,37.20551528,-8.18082704439394,14.9042014042929,23.0850284486869,19.3410133749421,42.426041823629,23.0850284486869,-2.64317013888889,11.5232475939394,14.1664177328283,24.8786702804472,39.0450880132754,14.1664177328283,"C2","2017"
"11","11",-19.199001745,10000.5,18.89362108,2.500159576,2.103886539,1.158782539,14.796875285,5.90083802649168,38.092622825,44.1300599937628,1.158782539,210000.5,0.533130069504102,33.4226784458277,8.32283867433605,46.4154614993361,38.092622825,-7.2209729649495,15.583355725101,22.8043286900505,20.3008674543866,43.1051961444371,22.8043286900505,-1.54955572545455,12.3667767241414,13.916332449596,25.9722846938815,39.8886171434775,13.916332449596,"S1","2017"
"12","12",-18.07862504,10000.5,18.648546205,2.3452427975,2.0704064825,1.2121990595,16.910042885,5.36478675629896,36.727171245,44.5136286314337,1.2121990595,230000.5,0.536987281351039,32.886627175635,9.44321537933605,46.1703866243361,36.727171245,-7.6971857179798,15.2965743961616,22.9937601141414,19.8246547013563,42.8184148154977,22.9937601141414,-2.15121199277778,11.9822914983333,14.1335034911111,25.3706284265583,39.5041319176694,14.1335034911111,"S2","2017"
