"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B80_lci","B80_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","stretch_lci","stretch_uci","area_lci","area_uci"
"1","1",31.2776236962292,33.0411547197285,19.9146646212121,22.8865107575758,11.9076256060606,14.083259469697,34.9361725,39.6276075,7.01394041933605,10.918662919336,45.3361304193361,47.417875419336,0.390750254006981,0.459495649747232,0.8133318,0.96699665,31.0149306988275,35.220130139745
"2","2",32.2062765393872,33.7089797464538,21.1384192929293,23.1603590909091,12.7693931060606,14.2903110606061,34.9774525,38.6421925,7.25943791933605,10.696795419336,45.3423354193361,46.4092454193361,0.39251486642079,0.445634294858727,0.852045475,0.98086015,31.8354947057,35.43585525078
"3","3",31.4550211945832,32.6211450900309,22.526765959596,24.1835546464646,13.6787053030303,15.0348292929293,36.0690975,38.64662,7.55371541933605,9.78144541933605,45.6087379193361,46.5468504193361,0.490782487776112,0.535381593959854,1.1035695,1.217841,41.640789878425,44.74537127785
"4","4",32.1534789121628,33.4319120094437,21.5205694444444,23.2911678787879,12.9985326010101,14.3839663131313,35.7888825,38.821015,7.05692041933605,9.86635791933605,45.398240419336,46.2485579193361,0.488822294402842,0.542358429516564,1.06172,1.19379,40.11219761985,43.75518937665
"5","5",32.5593285583658,33.7040051346032,22.792591969697,24.3632521969697,13.8134747474748,15.0709610606061,37.23906,39.9447075,7.00523041933605,9.40854791933605,46.282535419336,47.441940419336,0.481205822641476,0.525274623981352,1.06113,1.170601,41.3698880187,44.48945287785
"6","6",32.8960734174551,34.1463434589688,22.0403792171717,23.7081943181818,13.3363797979798,14.619603030303,36.606885,39.4880225,6.76212791933605,9.64384541933605,45.8748354193361,46.766347919336,0.498263800193966,0.555011062418172,1.08434925,1.21792125,41.708402133075,45.6321688643
"7","7",31.9917909693675,33.7342290944654,20.5608882575758,23.1632173232323,12.3295658333333,14.2577237878788,35.518095,39.675615,6.84580291933605,10.436970419336,45.5034379193361,47.2421504193361,0.393959183912593,0.458548022910205,0.83333975,0.97994215,31.8370053317075,36.0467287125
"8","8",31.9941414763599,33.4465467523799,20.4652606818182,22.6770187121212,12.2597781818182,13.9945810858586,34.6271625,39.1009275,7.73468791933605,11.471972919336,45.6600354193361,47.453765419336,0.430359753109185,0.485110926079561,0.905110925,1.04899025,34.2345032631075,37.597902927095
"9","9",31.9005377698781,33.2373379530333,21.8447591666667,23.7366309343434,13.1960490909091,14.6817301515152,35.9229775,39.15326,7.39772041933605,10.1827429193361,45.7397379193361,47.0586629193361,0.478722748005928,0.530449896569604,1.04853975,1.17778325,39.8812165371,43.379207157425
"10","10",31.9919720523313,33.2185934719952,21.6012137121212,23.4184671212121,13.0069528030303,14.4631926767677,36.079695,39.225035,7.05383291933605,9.75236041933605,45.5683404193361,46.6595554193361,0.505977628871803,0.556956559694043,1.09289925,1.22214,41.7529816008,45.102909578525
"11","11",33.1525510046129,34.3206388596833,21.4674557575758,23.0837575757576,12.9232280555556,14.1782243434343,36.6213625,39.6557125,6.65533291933605,9.53694041933605,45.8356404193361,46.809697919336,0.529571889620388,0.585251325201139,1.12155875,1.25572075,43.3169178888,47.10388229995
"12","12",32.6124640814212,33.8073687875242,21.7784447727273,23.3498408080808,13.1760836111111,14.4116739393939,35.896095,38.693325,7.51260291933605,10.1359579193361,45.7306404193361,46.620842919336,0.522117856166745,0.574908555580767,1.14073975,1.27034125,43.01833309585,46.648117872825
